title,price,link
Dota 2,['Free to Play'],https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_151_150_1
Dota Underlords,['Free To Play'],https://store.steampowered.com/app/1046930/Dota_Underlords/?snr=1_7_7_151_150_1
Dota 2 Player Profiles,['Free'],https://store.steampowered.com/app/411180/Dota_2_Player_Profiles/?snr=1_7_7_151_150_1
The Dota 2 Official Soundtrack,['Rp 69 999Rp 13 999'],https://store.steampowered.com/app/1241930/The_Dota_2_Official_Soundtrack/?snr=1_7_7_151_150_1
The Dota 2 Remixes EP,['Free'],https://store.steampowered.com/app/652720/The_Dota_2_Remixes_EP/?snr=1_7_7_151_150_1
Legion TD 2 - Multiplayer Tower Defense,['Rp 108 999Rp 87 199'],https://store.steampowered.com/app/469600/Legion_TD_2__Multiplayer_Tower_Defense/?snr=1_7_7_151_150_1
Soundpad,['Rp 39 999Rp 31 999'],https://store.steampowered.com/app/629520/Soundpad/?snr=1_7_7_151_150_1
Element TD 2 - Tower Defense,['Rp 99 999Rp 79 999'],https://store.steampowered.com/app/1018830/Element_TD_2__Tower_Defense/?snr=1_7_7_151_150_1
Red Solstice 2: Survivors,['Rp 210 000Rp 126 000'],https://store.steampowered.com/app/768520/Red_Solstice_2_Survivors/?snr=1_7_7_151_150_1
Blood of Steel,['Free To Play'],https://store.steampowered.com/app/567630/Blood_of_Steel/?snr=1_7_7_151_150_1
Artificial Life - AI 2061,[''],https://store.steampowered.com/app/1360210/Artificial_Life__AI_2061/?snr=1_7_7_151_150_1
Valve Complete Pack,['Rp 1 059 982Rp 95 400'],https://store.steampowered.com/bundle/232/Valve_Complete_Pack/?snr=1_7_7_151_150_1
The Aghanim’s Labyrinth Battle Pass,['Rp 106 499'],https://store.steampowered.com/app/1838090/The_Aghanims_Labyrinth_Battle_Pass/?snr=1_7_7_151_150_1
Red Solstice 2: Survivors - Season Pass,['Rp 245 999Rp 196 799'],https://store.steampowered.com/app/1751750/Red_Solstice_2_Survivors__Season_Pass/?snr=1_7_7_151_150_1
The Lab,['Free'],https://store.steampowered.com/app/450390/The_Lab/?snr=1_7_7_151_150_1
FINAL FANTASY TYPE-0™ HD,['Rp 199 999'],https://store.steampowered.com/app/340170/FINAL_FANTASY_TYPE0_HD/?snr=1_7_7_151_150_1
Over the Dream,['Rp 35 999Rp 5 039'],https://store.steampowered.com/app/406210/Over_the_Dream/?snr=1_7_7_151_150_1
AirMech Strike,['Free to Play'],https://store.steampowered.com/app/206500/AirMech_Strike/?snr=1_7_7_151_150_1
Flamebreak,['Rp 69 999Rp 17 499'],https://store.steampowered.com/app/399640/Flamebreak/?snr=1_7_7_151_150_1
Anomaly Zone,['Free To Play'],https://store.steampowered.com/app/1157250/Anomaly_Zone/?snr=1_7_7_151_150_1
True Sight,['1 Season'],https://store.steampowered.com/app/539730/True_Sight/?snr=1_7_7_151_150_1
小黑盒加速器,['Free To Play'],https://store.steampowered.com/app/1447430/_/?snr=1_7_7_151_150_1
Red Solstice 2: Survivors - HOWELL-BARREX INC,['Rp 70 999Rp 56 799'],https://store.steampowered.com/app/1736390/Red_Solstice_2_Survivors__HOWELLBARREX_INC/?snr=1_7_7_151_150_1
Free to Play,['Free Movie'],https://store.steampowered.com/app/245550/Free_to_Play/?snr=1_7_7_151_150_1
How to Survive 2,['Rp 115 999Rp 23 199'],https://store.steampowered.com/app/360170/How_to_Survive_2/?snr=1_7_7_151_150_1
How to Survive,['Rp 115 999Rp 23 199'],https://store.steampowered.com/app/250400/How_to_Survive/?snr=1_7_7_151_150_1
Tavern of Gods,['Rp 89 999Rp 59 399'],https://store.steampowered.com/app/1418020/Tavern_of_Gods/?snr=1_7_7_151_150_1
Egyptian Senet,['Rp 32 999Rp 6 599'],https://store.steampowered.com/app/391580/Egyptian_Senet/?snr=1_7_7_151_150_1
Collective: the Community Created Card Game,['Free To Play'],https://store.steampowered.com/app/878940/Collective_the_Community_Created_Card_Game/?snr=1_7_7_151_150_1
